[ 2025-05-22 23:53:31,797 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-05-22 23:53:31,797 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-05-22 23:53:32,803 ] 24 root - INFO - Data ingestion started
[ 2025-05-22 23:53:32,803 ] 27 root - INFO - Data Reading using pandas
[ 2025-05-22 23:53:32,829 ] 31 root - INFO - Data Reading completed
[ 2025-05-22 23:53:32,904 ] 36 root - INFO - Data splitted into train and test
[ 2025-05-22 23:53:32,992 ] 42 root - INFO - Data Ingestion Completed
[ 2025-05-22 23:53:33,042 ] 89 root - INFO - Outliers capped on our train data
[ 2025-05-22 23:53:33,066 ] 95 root - INFO - Outliers capped on our test data
[ 2025-05-22 23:53:33,066 ] 31 root - INFO -  Data Transformation Started
[ 2025-05-22 23:53:33,066 ] 102 root - INFO - Splitting train data into dependent and independent features
[ 2025-05-22 23:53:33,076 ] 106 root - INFO - Splitting test data into dependent and independent features
[ 2025-05-22 23:53:33,116 ] 28 root - INFO - Splitting our data into dependent and independent features
[ 2025-05-22 23:54:04,726 ] 80 root - INFO - best model found, Model Name is Random Forest, accuracy Score: 0.7851874615857406
